Actress,Year,Play,Dramatist,Role,Type,Generic markers
Mary Lee,1676,Don Carlos,Thomas Otway,Queen of Spain,wife,
Mary Lee,1676,Abdelazer,Aphra Behn,Isabella,villainess,
Mary Lee,1676,Madam Fickle,Thomas Durfey,Madam Fickle,wife,breeches
Mary Lee,1676,Titus and Berenice,Thomas Otway,Berenice,young girl,
Mary Lee,1676,Pastor Fido,Elkanah Settle,Corisca,villainess,
Mary Lee,1677,Antony and Cleopatra,Charles Sedley,Cleopatra,passionate queen,
Mary Lee,1677,Circe,Charles Davenant,Circe,villainess,
Mary Lee,1677,The Constant Nymph,Anon.,Astatius,young girl,breeches
Mary Lee,1677,The Siege of Babylon,Samuel Pordage,Roxana,darker woman,
Mary Lee,1678,The Counterfeits,John Leanerd,Elvira ,seduced girl,breeches
Mary Lee,1678,Oedipus,Dryden & Lee,Eurydice,young girl,
Mary Lee,1678,The Destruction of Troy,John Banks,Cassandra,young girl,
Mary Lee,1679,The Feign’d Curtezans,Aphra Behn,Laura Lucretia,young girl,
Mary Lee,1679,Troilus and Cressida,John Dryden,Cressida,young girl,
Mary Lee,1679,Caesar Borgia,Nathaniel Lee,Bellamira,young girl,
Mary Lee,1679,The Loyal General,Nahum Tate,Arviola,young girl,
Mary Lee,1680,The Loving Enemies,Lewis Maidwell,Julia,young girl,breeches
Mary Lee,1680,The Misery of Civil-War,John Crowne,Queen Margaret,wife,
Mary Lee,1680,The Princess of Cleve,Nathaniel Lee,Marguerite,mistress,
Mary Lee,1680,Lucius Junius Brutus,Nathaniel Lee,Sempronia,mother,
Mary Lee,1680,King Lear,Nahum Tate,Regan,villainess,
Mary Lee,1682,Mr. Turbulent,Anon.,Lucia,young girl,
Mary Lee,1682,Romulus and Hersilia,Anon.,Tarpeia,young girl,breeches
Mary Lee,1682,The Duke of Guise,Dryden & Lee,Queen Mother,ruler,
Mary Lee,1683,Dame Dobson,Edward Ravenscroft,Lady Noble,wife,
